ImageId,Feature_LBP_1,Feature_LBP_2,Feature_LBP_3,Feature_LBP_4,Feature_LBP_5,Feature_LBP_6,Feature_LBP_7,Feature_LBP_8,Feature_LBP_9,Feature_LBP_10,Classe
Foto_37,-0.8686214325196971,-0.600226751168097,-0.9359622018624245,-0.2272452997311107,-0.444836436069724,1.3661386120398378,-0.28460414087480534,-0.182103146831008,2.394202724538709,-0.21674192752168084,Freeflowing
Foto_38,-0.6859140804862794,-0.545915543047547,-0.7980461846832043,-0.3279515717344534,-0.550398404047316,1.175139605647558,-0.36326924690830936,-0.23932419818496603,2.5617975554409744,-0.2261179319964572,Freeflowing
Foto_39,-1.1033422715313745,-0.697075156429264,-1.20325877768278,-0.01536253788273875,-0.24280011044359523,1.6969203302975011,-0.20549394748616368,-0.017562901381568408,1.9591636527489371,-0.17118828020895446,Freeflowing
Foto_40,-0.6729567899624086,-0.5577224269472608,-0.68831476611662,-0.27384757738715876,-0.4673580769302231,1.0790910380817464,-0.3664413110394852,-0.3001543042835661,2.632822806302326,-0.3851185917173488,Freeflowing
Foto_41,-0.9605613166947493,-0.6731826993004503,-1.000811062154528,-0.062664821097682,-0.3517934274250149,1.6271397099348806,-0.289554690589289,-0.11075147351843838,2.1542668111548178,-0.3320870303095468,Freeflowing
Foto_42,-1.1220123735307235,-0.6954359551113148,-1.091512287051423,0.024332102416912586,-0.23292210889039053,1.7992842102875133,-0.15866841645889024,-0.11177134755478481,1.9065867429431023,-0.3178805670500019,Freeflowing
Foto_43,-0.6606107349527829,-0.5529337215054457,-0.6674466224089404,-0.2690322438435087,-0.46958303859174527,1.0467110872868464,-0.36996765793753184,-0.32004210748187073,2.6520131822497515,-0.389108142814773,Freeflowing
Foto_44,-1.1006312192521217,-0.60553364085263,-1.4493432979147411,-0.15699020318401521,-0.35005669417146756,1.7343510455826832,-0.2107748235379441,0.06271489694099616,1.73181403518863,0.3444499012006097,Freeflowing
Foto_45,-0.9685732758406954,-0.6180952899310095,-1.304555699011571,-0.2070505728878446,-0.4225737460121721,1.6637759700459036,-0.3111039922377546,-0.008270336570360156,1.960878821839815,0.2155681206056882,Freeflowing
Foto_46,-1.191300061076282,-0.6628553393292208,-1.2626251947528595,-0.005386644423932613,-0.23447871557616382,1.8411891298356415,-0.13920111163506405,-0.02337761097817387,1.7540021380727802,-0.07596659013672512,Freeflowing
Foto_47,-1.062828101993084,-0.6654762490522258,-1.3188821646559155,-0.12143019763098409,-0.29301395230999105,1.7234806228970807,-0.24631850174266184,0.02074863888416217,1.884051299612095,0.07966860599152349,Freeflowing
Foto_48,-0.7137395846115046,-0.5782002406209897,-0.8855558378366569,-0.2976909329717525,-0.539376375709537,1.2206388336096523,-0.36969405832171615,-0.19464248302060944,2.510912812156229,-0.15265213267311623,Freeflowing
Foto_49,-0.7022003076730716,-0.5679695746999551,-0.779730127579958,-0.28099352489536106,-0.534585465680348,1.3025241176655127,-0.3626891261703786,-0.27983636340421353,2.4943425954729386,-0.28886222303516446,Freeflowing
Foto_50,-0.6847538388270926,-0.5664528707370462,-0.6959681498098139,-0.24594385773980632,-0.4776395328649587,1.0885591492040274,-0.355984284257759,-0.2876470767068012,2.623818348293898,-0.3979878865546482,Freeflowing
Foto_51,-0.987175597898309,-0.6634327067245005,-1.1593949897784401,-0.1189644254210606,-0.34874426855726537,1.6464691261055184,-0.2823141490498543,-0.03636563983048261,2.0732295183235045,-0.12330686716911107,Freeflowing
Foto_52,-0.6462469047778103,-0.5346274861725373,-0.7806626702516736,-0.35615453219098414,-0.552758259459214,1.1879140918486273,-0.394955568182341,-0.2714064551017953,2.5628409090705127,-0.21394312478278435,Freeflowing
Foto_53,-0.6838734172853671,-0.5623235375931502,-0.7397972632782884,-0.2770356136877406,-0.4911378232980671,1.0961509867992638,-0.3573784489641208,-0.2727295865596308,2.615360962934452,-0.3272362590673513,Freeflowing
Foto_54,-0.6974604945794718,-0.5666952258143612,-0.693393983786102,-0.24406903817170314,-0.46949091962103795,1.140259425282101,-0.3627817568745369,-0.30266598888098467,2.5975401124868425,-0.40124213004074594,Freeflowing
Foto_55,-1.015716759649501,-0.6927122817758936,-1.0853561179305493,-0.04466758352107192,-0.3209348063242073,1.6674766879807048,-0.25706338514804483,-0.06375266952988538,2.0708081723002962,-0.25808125640184837,Freeflowing
Foto_56,-0.806658676479226,-0.5530438796145606,-0.9256903233657224,-0.3093053927701989,-0.48390970947243434,1.3326680000083582,-0.3346595020760533,-0.19241115626123084,2.4304124883845066,-0.1574018483534377,Freeflowing
Foto_57,-0.9274158050804242,-0.6714157997752733,-1.1013622740248987,-0.05785916386203593,-0.4454610936514407,1.5315547331801018,-0.31333205865523384,-0.0458234738391102,2.191497094145199,-0.16038215843688516,Freeflowing
Foto_58,-0.7115121703865646,-0.5667824070391221,-0.7110009384425608,-0.2596853782761104,-0.4555383360239209,1.1565293530028895,-0.34557234486872895,-0.3011974121292093,2.58664959315879,-0.39188995899546253,Freeflowing
Foto_59,-0.9070893091446611,-0.5361879691845918,-1.1492797136168196,-0.3567391022308353,-0.46810028779404333,1.4084970819685694,-0.30731248907325187,-0.10536946960084005,2.2598452759481686,0.16173598272830433,Freeflowing
Foto_60,-0.9649535198383883,-0.6428923724055361,-1.201019282354615,-0.13465667192942413,-0.4558251337057025,1.6092543518354077,-0.2854213605952497,0.012537274110105318,2.0774183850608656,-0.014441670177463412,Freeflowing
Foto_61,-0.9444852288499171,-0.693756327102248,-0.9350366793028996,-0.010242775450969795,-0.34470773586532366,1.5975854057998533,-0.2733643400103069,-0.11999657924712315,2.185997252227889,-0.4619929921989548,Freeflowing
Foto_62,-0.8545447357304252,-0.5837686082183858,-0.9851994982109529,-0.3139313173229729,-0.4733770693800479,1.4159533851961554,-0.2768472709662245,-0.1993932500945345,2.347044599735532,-0.07593623500814373,Freeflowing
